Timestamp,Service,User Count,Response Time (s),Throughput (req/s),CPU Usage,Replicas,CPU Request
1772569512.6536167,checkoutservice,60,0.015547326934775837,1.2222177778765408,0.008414119465975886,1,0.03
1772569512.6536167,recommendationservice,60,0.0045087054530897185,21.755491853267458,0.05405895969800069,2,0.1
1772569512.6536167,cartservice,60,0.0012844214151566398,29.311030125256472,0.02877701387580748,1,0.12
1772569512.6536167,currencyservice,60,0.0011549475262509828,88.88865778291346,0.07296291922998893,2,0.1
1772569512.6536167,shippingservice,60,0.0003369339513739569,8.888870617689976,0.007619607926427898,1,0.05
1772569512.6536167,productcatalogservice,60,0.00036467647195252483,163.22181778676523,0.08030212355280343,3,0.1
1772569512.6536167,emailservice,60,0.0009678538165717116,1.2444582719122153,0.002555200000000468,1,0.03
1772569512.6536167,frontend,60,0.023083069835780776,30.577684940334656,0.15133195042195655,4,0.1
1772569512.6536167,adservice,60,0.0014997463931293211,17.577728396159095,0.017774849999999988,1,0.08
1772569512.6536167,paymentservice,60,0.0008767857142857207,1.2444444444444442,0.004494258857556436,1,0.03
1772569572.7283287,checkoutservice,60,0.01552000350007103,1.3777807408065856,0.00844067416360511,1,0.03
1772569572.7283287,recommendationservice,60,0.004434159992754604,22.42228049512211,0.047739765867212555,2,0.1
1772569572.7283287,cartservice,60,0.0013164379511510082,30.400072594205795,0.031027302769618834,1,0.12
1772569572.7283287,currencyservice,60,0.0010697152953798156,91.44467654836774,0.08326032259848198,2,0.1
1772569572.7283287,shippingservice,60,0.0002926440878410643,9.000016296658444,0.007564953993561658,1,0.05
1772569572.7283287,productcatalogservice,60,0.0003465262161120582,169.22258914395627,0.08927003811168129,3,0.1
1772569572.7283287,emailservice,60,0.0007701708244767981,1.2666795064581682,0.0056206753569852715,1,0.03
1772569572.7283287,frontend,60,0.02266162418973917,31.466751606825827,0.18656224881250574,4,0.1
1772569572.7283287,adservice,60,0.0014127277438721144,18.400049383813467,0.02011340651660657,1,0.08
1772569572.7283287,paymentservice,60,0.0007635593220338798,1.3555555555555554,0.003785777293098751,1,0.03
1772569632.7708588,checkoutservice,60,0.013659615384615385,1.2,0.0066501026821828525,1,0.03
1772569632.7708588,recommendationservice,60,0.004488883541867006,23.177777777777777,0.04512059424498849,2,0.1
1772569632.7708588,cartservice,60,0.0013259057971013893,30.799999999999997,0.030066782704286952,1,0.12
1772569632.7708588,currencyservice,60,0.001142567094515545,94.6,0.07293630555029054,2,0.1
1772569632.7708588,shippingservice,60,0.0003016627078384751,9.399999999999999,0.0065764911643604075,1,0.05
1772569632.7708588,productcatalogservice,60,0.00034801217301214885,172.2222222222222,0.07821002770712776,3,0.1
1772569632.7708588,emailservice,60,0.0006865345783608589,1.1333456792867,0.005444373688058933,1,0.03
1772569632.7708588,frontend,60,0.022690103092783524,31.93333333333333,0.1457823546687813,4,0.1
1772569632.7708588,adservice,60,0.0011541511771995185,17.866666666666664,0.02051753545715787,1,0.08
1772569632.7708588,paymentservice,60,0.000625,1.1555555555555554,0.003767155490875334,1,0.03
1772569692.8460002,checkoutservice,60,0.014168176265036945,0.9555535802908083,0.005742988762431009,1,0.03
1772569692.8460002,recommendationservice,60,0.004544851271094699,21.66660740872425,0.047688224957151124,2,0.1
1772569692.8460002,cartservice,60,0.0013197073637735907,28.644371359648794,0.02934342637971484,1,0.12
1772569692.8460002,currencyservice,60,0.001054462476380851,89.68867407884763,0.07358886344953844,2,0.1
1772569692.8460002,shippingservice,60,0.00023551063943421478,7.644428148510279,0.0057817579749675375,1,0.05
1772569692.8460002,productcatalogservice,60,0.0003491051312428401,165.19961877390378,0.08229931407153451,3,0.1
1772569692.8460002,emailservice,60,0.000826739751159601,0.9111204940356699,0.003941952260387869,1,0.03
1772569692.8460002,frontend,60,0.02310589598417006,29.64436444622218,0.1571330152082996,4,0.1
1772569692.8460002,adservice,60,0.0012158198469933098,18.155507655385435,0.028436851690553436,1,0.08
1772569692.8460002,paymentservice,60,0.0007677777777777944,0.9333333333333332,0.003218737883368257,1,0.03
1772569752.9035766,checkoutservice,60,0.01610199661682285,1.1777807408065857,0.005943375000000373,1,0.03
1772569752.9035766,recommendationservice,60,0.0044778711827296175,22.755614816131715,0.051363344804144395,2,0.1
1772569752.9035766,cartservice,60,0.0012938290720003816,30.533407902891664,0.029304738598442855,1,0.12
1772569752.9035766,currencyservice,60,0.0012478217440870735,97.93357827704813,0.07443031622920356,2,0.1
1772569752.9035766,shippingservice,60,0.0003081486482853078,9.266684938677649,0.006558611116740832,1,0.05
1772569752.9035766,productcatalogservice,60,0.0003505229419350017,174.00038865061197,0.09245700491683594,3,0.1
1772569752.9035766,emailservice,60,0.0008423076923077131,1.1999999999999997,0.0029091249999993354,1,0.03
1772569752.9035766,frontend,60,0.023637191419182323,31.400081977130352,0.15551415199286295,4,0.1
1772569752.9035766,adservice,60,0.0010616113086643572,17.822269136845016,0.019244095220383124,1,0.08
1772569752.9035766,paymentservice,60,0.0008442307692307972,1.1777777777777776,0.0040420187885709035,1,0.03
1772569812.9553044,checkoutservice,60,0.015927783011083555,1.2444459259588483,0.0060346311185964525,1,0.03
1772569812.9553044,recommendationservice,60,0.004453592525315447,23.93339851996711,0.05644859951967075,2,0.1
1772569812.9553044,cartservice,60,0.0012937643069078407,32.1111921005652,0.03126418092628031,1,0.12
1772569812.9553044,currencyservice,60,0.001063267664466761,97.11134222735814,0.08464734350501568,2,0.1
1772569812.9553044,shippingservice,60,0.00032370413252924476,9.177794568274356,0.007586658694465478,1,0.05
1772569812.9553044,productcatalogservice,60,0.0003467988107078578,178.24486321918263,0.085187739357237,3,0.1
1772569812.9553044,emailservice,60,0.000754634192913321,1.2888730867709113,0.005636616317591944,1,0.03
1772569812.9553044,frontend,60,0.022886346956131353,32.777867656318286,0.17247974512683226,4,0.1
1772569812.9553044,adservice,60,0.0010084417456124465,19.13338716169001,0.020835493059455996,1,0.08
1772569812.9553044,paymentservice,60,0.0007546296296296297,1.222222222222222,0.0016477000000008955,1,0.03
