Timestamp,Service,User Count,Response Time (s),Throughput (req/s),CPU Usage,Replicas,CPU Request
1772711305.6184683,adservice,200,5.953598830836671e-05,60.533333333333324,0.024241941354903953,1,0.08
1772711305.6184683,productcatalogservice,200,1.0776842357259698e-05,554.4222222222222,0.12126271132875027,2,0.1
1772711305.6184683,cartservice,200,0.0002860558659217889,99.68888888888887,0.04282884571871876,1,0.12
1772711305.6184683,frontend,200,0.010890940540540534,102.55555555555554,0.2466297155952124,3,0.1
1772711305.6184683,paymentservice,200,0.0006610389610389609,3.4222222222222216,0.004457313292424786,1,0.03
1772711305.6184683,checkoutservice,200,0.011502903225806453,3.3777777777777773,0.011241583128428224,1,0.03
1772711305.6184683,shippingservice,200,3.2482598607888705e-06,28.599999999999998,0.00999330270793037,1,0.05
1772711305.6184683,currencyservice,200,0.00020465358311032427,297.59999999999997,0.12345758416242596,2,0.1
1772711305.6184683,recommendationservice,200,0.0020771236959761597,73.82222222222221,0.07455623765547426,1,0.1
1772711305.6184683,emailservice,200,0.0006159999999999997,3.355555555555555,0.0022807666666666707,1,0.03
1772711365.680625,adservice,200,4.0168037182695886e-05,62.755555555555546,0.023598695821243815,1,0.08
1772711365.680625,productcatalogservice,200,1.0280963515569887e-05,606.8666666666666,0.10313204831126012,2,0.1
1772711365.680625,cartservice,200,0.0003033235785953171,107.57777777777777,0.03870844799742164,1,0.12
1772711365.680625,frontend,200,0.010995552147239266,109.19999999999999,0.2611427777670299,3,0.1
1772711365.680625,paymentservice,200,0.0006611374407582946,4.71111111111111,0.005159878519634622,1,0.03
1772711365.680625,checkoutservice,200,0.01197359813084112,4.755555555555555,0.014369183690012964,1,0.03
1772711365.680625,shippingservice,200,6.459330143540662e-06,32.75555555555555,0.01081769000472713,1,0.05
1772711365.680625,currencyservice,200,0.0001956962301154936,309.5777777777777,0.11827118863611388,2,0.1
1772711365.680625,recommendationservice,200,0.0020755768696135725,81.02222222222221,0.08005053302364362,1,0.1
1772711365.680625,emailservice,200,0.0006237623762376244,4.688888888888888,0.005567231897341891,1,0.03
1772711425.7141876,adservice,200,3.114243866715508e-05,60.755555555555546,0.019051889856994048,1,0.08
1772711425.7141876,productcatalogservice,200,9.603320686675944e-06,590.5777777777777,0.11179998354340812,2,0.1
1772711425.7141876,cartservice,200,0.0002982172995780555,104.82222222222221,0.04808334018753083,1,0.12
1772711425.7141876,frontend,200,0.01094170431211497,107.79999999999998,0.25899178891362884,3,0.1
1772711425.7141876,paymentservice,200,0.0006091981132075464,4.71111111111111,0.005069783840959018,1,0.03
1772711425.7141876,checkoutservice,200,0.011713809523809529,4.5777777777777775,0.01372365593779766,1,0.03
1772711425.7141876,shippingservice,200,3.603603603603596e-06,32.11111111111111,0.010828292848156378,1,0.05
1772711425.7141876,currencyservice,200,0.00020670069739018486,309.75555555555553,0.1286416659985587,2,0.1
1772711425.7141876,recommendationservice,200,0.002073802776990648,77.9111111111111,0.07743406003963861,1,0.1
1772711425.7141876,emailservice,200,0.000583333333333334,4.666666666666666,0.005220044679122668,1,0.03
1772711485.7557406,adservice,200,5.3875134553283224e-05,61.822222222222216,0.023661075104841816,1,0.08
1772711485.7557406,productcatalogservice,200,1.4891613498347295e-05,574.3777777777777,0.09347507457063413,2,0.1
